Adding x nodes and 10 edges,runtime[ms],ms / x
10,190,19
10,176,17.6
11,181,16.454545454545453
12,186,15.5
13,189,14.538461538461538
14,199,14.214285714285714
15,224,14.933333333333334
16,220,13.75
17,243,14.294117647058824
18,246,13.666666666666666
18,247,13.722222222222221
19,268,14.105263157894736
20,270,13.5
21,289,13.761904761904763
22,285,12.954545454545455
23,305,13.26086956521739
24,312,13
25,331,13.24
26,331,12.73076923076923
27,381,14.11111111111111
27,402,14.88888888888889
28,368,13.142857142857142
29,372,12.827586206896552
30,384,12.8
31,393,12.67741935483871
32,409,12.78125
33,431,13.06060606060606
34,423,12.441176470588236
35,452,12.914285714285715
36,452,12.555555555555555
36,465,12.916666666666666
37,453,12.243243243243244
38,462,12.157894736842104
39,503,12.897435897435898
40,489,12.225
41,502,12.24390243902439
42,529,12.595238095238095
43,530,12.325581395348838
44,538,12.227272727272727
45,571,12.688888888888888
45,577,12.822222222222223
46,569,12.369565217391305
47,575,12.23404255319149
48,593,12.354166666666666
49,630,12.857142857142858
50,624,12.48
51,626,12.27450980392157
52,638,12.26923076923077
53,682,12.867924528301886
54,659,12.203703703703704
54,654,12.11111111111111
55,671,12.2
56,690,12.321428571428571
57,706,12.385964912280702
58,721,12.431034482758621
59,719,12.186440677966102
60,747,12.45
61,753,12.344262295081966
62,749,12.080645161290322
63,762,12.095238095238095
63,771,12.238095238095237
64,788,12.3125
65,786,12.092307692307692
66,807,12.227272727272727
67,808,12.059701492537313
68,831,12.220588235294118
69,840,12.173913043478262
70,879,12.557142857142857
71,865,12.183098591549296
72,881,12.23611111111111
72,902,12.527777777777779
73,893,12.232876712328768
74,890,12.027027027027026
75,901,12.013333333333334
76,975,12.828947368421053
77,947,12.2987012987013
78,948,12.153846153846153
79,983,12.443037974683545
80,1054,13.175
81,990,12.222222222222221
82,1013,12.353658536585366
82,988,12.048780487804878
83,1009,12.156626506024097
84,1024,12.19047619047619
85,1036,12.188235294117646
86,1041,12.104651162790697
87,1070,12.298850574712644
88,1077,12.238636363636363
89,1081,12.146067415730338
90,1127,12.522222222222222
91,1091,11.989010989010989
91,1083,11.901098901098901
92,1122,12.195652173913043
93,1120,12.043010752688172
94,1136,12.085106382978724
95,1141,12.010526315789473
96,1160,12.083333333333334
97,1162,11.97938144329897
98,1185,12.091836734693878
99,1188,12
