"Checking 1000000 connections in graph with x nodes, 10 edges",runtime[ms],ms / x
10,204,20.4
10,207,20.7
11,215,19.545454545454547
12,219,18.25
13,268,20.615384615384617
14,200,14.285714285714286
15,220,14.666666666666666
16,228,14.25
17,213,12.529411764705882
18,211,11.722222222222221
18,279,15.5
19,205,10.789473684210526
20,210,10.5
21,274,13.047619047619047
22,210,9.545454545454545
23,216,9.391304347826088
24,215,8.958333333333334
25,250,10
26,215,8.26923076923077
27,216,8
27,279,10.333333333333334
28,212,7.571428571428571
29,215,7.413793103448276
30,217,7.233333333333333
31,264,8.516129032258064
32,210,6.5625
33,215,6.515151515151516
34,276,8.117647058823529
35,205,5.857142857142857
36,211,5.861111111111111
36,231,6.416666666666667
37,202,5.45945945945946
38,206,5.421052631578948
39,275,7.051282051282051
40,210,5.25
41,212,5.170731707317073
42,299,7.119047619047619
43,200,4.651162790697675
44,206,4.681818181818182
45,227,5.044444444444444
45,204,4.533333333333333
46,211,4.586956521739131
47,278,5.914893617021277
48,207,4.3125
49,211,4.3061224489795915
50,272,5.44
51,198,3.8823529411764706
52,206,3.9615384615384617
53,229,4.320754716981132
54,205,3.7962962962962963
54,207,3.8333333333333335
55,283,5.1454545454545455
56,204,3.642857142857143
57,251,4.4035087719298245
58,279,4.810344827586207
59,205,3.4745762711864407
60,214,3.566666666666667
61,236,3.8688524590163933
62,213,3.435483870967742
63,214,3.3968253968253967
63,296,4.698412698412699
64,208,3.25
65,227,3.4923076923076923
66,290,4.393939393939394
67,211,3.1492537313432836
68,220,3.235294117647059
69,242,3.5072463768115942
70,210,3
71,219,3.084507042253521
72,248,3.4444444444444446
72,217,3.013888888888889
73,224,3.0684931506849313
74,277,3.7432432432432434
75,219,2.92
76,221,2.9078947368421053
77,271,3.5194805194805197
78,213,2.730769230769231
79,220,2.7848101265822787
80,243,3.0375
81,212,2.617283950617284
82,221,2.6951219512195124
82,305,3.7195121951219514
83,215,2.5903614457831323
84,224,2.6666666666666665
85,223,2.623529411764706
86,217,2.5232558139534884
87,224,2.574712643678161
88,261,2.965909090909091
89,212,2.3820224719101124
90,220,2.4444444444444446
91,285,3.131868131868132
91,212,2.32967032967033
92,221,2.402173913043478
93,245,2.6344086021505375
94,210,2.234042553191489
95,221,2.3263157894736843
96,311,3.2395833333333335
97,209,2.154639175257732
98,224,2.2857142857142856
99,225,2.272727272727273
