Finding 1 of 100 nodes x times,runtime[ms],ms / x
500000,157,0.000314
545000,164,0.00030091743119266056
590000,104,0.00017627118644067795
635000,110,0.0001732283464566929
680000,116,0.00017058823529411766
725000,123,0.0001696551724137931
770000,132,0.00017142857142857143
815000,138,0.00016932515337423314
860000,147,0.00017093023255813954
905000,153,0.000169060773480663
950000,166,0.00017473684210526317
995000,169,0.0001698492462311558
1040000,186,0.00017884615384615384
1085000,182,0.00016774193548387096
1130000,205,0.00018141592920353983
1175000,197,0.0001676595744680851
1220000,215,0.0001762295081967213
1265000,212,0.0001675889328063241
1310000,229,0.00017480916030534352
1355000,231,0.00017047970479704797
1400000,246,0.00017571428571428572
1445000,258,0.00017854671280276817
1490000,264,0.00017718120805369127
1535000,259,0.00016872964169381107
1580000,284,0.00017974683544303796
1625000,284,0.00017476923076923076
1670000,284,0.00017005988023952097
1715000,305,0.00017784256559766763
1760000,300,0.00017045454545454547
1805000,304,0.00016842105263157895
1850000,314,0.00016972972972972974
1895000,325,0.00017150395778364115
1940000,329,0.00016958762886597938
1985000,338,0.00017027707808564232
2030000,350,0.00017241379310344826
2075000,367,0.00017686746987951807
2120000,393,0.00018537735849056603
2165000,375,0.00017321016166281755
2210000,372,0.00016832579185520363
2255000,380,0.00016851441241685144
2300000,394,0.00017130434782608697
2345000,413,0.00017611940298507462
2390000,409,0.00017112970711297072
2435000,421,0.0001728952772073922
2480000,424,0.00017096774193548387
2525000,436,0.00017267326732673267
2570000,440,0.00017120622568093385
2615000,451,0.00017246653919694073
2660000,470,0.00017669172932330827
2705000,492,0.00018188539741219962
2750000,470,0.0001709090909090909
2795000,478,0.00017101967799642217
2840000,489,0.0001721830985915493
2885000,492,0.00017053726169844022
2930000,496,0.00016928327645051195
2975000,520,0.00017478991596638654
3020000,522,0.0001728476821192053
3065000,540,0.0001761827079934747
3110000,557,0.00017909967845659164
3155000,549,0.0001740095087163233
3200000,546,0.000170625
3245000,560,0.00017257318952234208
3290000,562,0.0001708206686930091
3335000,565,0.00016941529235382308
3380000,607,0.00017958579881656805
3425000,595,0.00017372262773722628
3470000,589,0.0001697406340057637
3515000,601,0.00017098150782361308
3560000,607,0.00017050561797752809
3605000,616,0.000170873786407767
3650000,611,0.0001673972602739726
3695000,650,0.00017591339648173208
3740000,636,0.00017005347593582887
3785000,652,0.00017225891677675033
3830000,681,0.00017780678851174936
3875000,647,0.00016696774193548388
3920000,662,0.00016887755102040815
3965000,680,0.00017150063051702395
4010000,692,0.00017256857855361596
4055000,693,0.00017090012330456226
4100000,692,0.00016878048780487805
4145000,713,0.00017201447527141135
4190000,716,0.00017088305489260143
4235000,746,0.00017615112160566707
4280000,723,0.0001689252336448598
4325000,743,0.00017179190751445087
4370000,740,0.00016933638443935927
4415000,759,0.00017191392978482446
4460000,775,0.00017376681614349776
4505000,775,0.00017203107658157602
4550000,777,0.00017076923076923077
4595000,788,0.00017149075081610447
4640000,788,0.00016982758620689655
4685000,801,0.00017097118463180362
4730000,800,0.00016913319238900633
4775000,813,0.00017026178010471203
4820000,828,0.00017178423236514524
4865000,834,0.00017142857142857143
4910000,843,0.00017169042769857434
4955000,925,0.0001866801210898083
5000000,862,0.0001724
