Finding 1 of x nodes 1000000 times,runtime[ms],ms / x
10,170,17
10,172,17.2
11,174,15.818181818181818
12,167,13.916666666666666
13,165,12.692307692307692
14,165,11.785714285714286
15,169,11.266666666666667
16,165,10.3125
17,170,10
18,167,9.277777777777779
18,168,9.333333333333334
19,172,9.052631578947368
20,168,8.4
21,167,7.9523809523809526
22,169,7.681818181818182
23,171,7.434782608695652
24,168,7
25,173,6.92
26,167,6.423076923076923
27,163,6.037037037037037
27,171,6.333333333333333
28,168,6
29,166,5.724137931034483
30,170,5.666666666666667
31,166,5.354838709677419
32,172,5.375
33,176,5.333333333333333
34,170,5
35,164,4.685714285714286
36,173,4.805555555555555
36,167,4.638888888888889
37,171,4.621621621621622
38,185,4.868421052631579
39,170,4.358974358974359
40,168,4.2
41,178,4.341463414634147
42,171,4.071428571428571
43,182,4.232558139534884
44,175,3.977272727272727
45,175,3.888888888888889
45,173,3.8444444444444446
46,173,3.760869565217391
47,171,3.6382978723404253
48,173,3.6041666666666665
49,172,3.510204081632653
50,169,3.38
51,173,3.392156862745098
52,175,3.3653846153846154
53,165,3.1132075471698113
54,175,3.240740740740741
54,169,3.1296296296296298
55,169,3.0727272727272728
56,177,3.1607142857142856
57,169,2.9649122807017543
58,167,2.8793103448275863
59,175,2.9661016949152543
60,166,2.7666666666666666
61,174,2.8524590163934427
62,169,2.725806451612903
63,170,2.6984126984126986
63,168,2.6666666666666665
64,202,3.15625
65,170,2.6153846153846154
66,176,2.6666666666666665
67,165,2.462686567164179
68,172,2.5294117647058822
69,167,2.420289855072464
70,174,2.4857142857142858
71,169,2.380281690140845
72,174,2.4166666666666665
72,168,2.3333333333333335
73,184,2.5205479452054793
74,176,2.3783783783783785
75,173,2.3066666666666666
76,163,2.1447368421052633
77,171,2.220779220779221
78,170,2.1794871794871793
79,176,2.2278481012658227
80,176,2.2
81,169,2.0864197530864197
82,169,2.0609756097560976
82,174,2.1219512195121952
83,169,2.036144578313253
84,170,2.0238095238095237
85,166,1.9529411764705882
86,170,1.9767441860465116
87,173,1.9885057471264367
88,174,1.9772727272727273
89,169,1.898876404494382
90,164,1.8222222222222222
91,168,1.8461538461538463
91,167,1.835164835164835
92,171,1.858695652173913
93,180,1.935483870967742
94,173,1.8404255319148937
95,177,1.8631578947368421
96,177,1.84375
97,169,1.7422680412371134
98,178,1.816326530612245
99,174,1.7575757575757576
